profile_id,from,to,density,note,date
0,0,25,0.22,"Probably by stake M1",1997-04-12
0,25,50,0.32,"Probably by stake M1",1997-04-12
0,50,75,0.37,"Probably by stake M1",1997-04-12
0,75,100,0.39,"Probably by stake M1",1997-04-12
0,100,125,0.42,"Probably by stake M1",1997-04-12
0,125,150,0.39,"Probably by stake M1",1997-04-12
0,150,175,0.37,"Probably by stake M1",1997-04-12
0,175,200,0.36,"Probably by stake M1",1997-04-12
0,200,207,0.42,"Probably by stake M1",1997-04-12
1,0,25,0.17,"Probably by stake M3",1997-04-12
1,25,60,0.30,"Probably by stake M3",1997-04-12
1,60,67,0.50,"Probably by stake M3",1997-04-12
1,67,86,0.62,"Probably by stake M3",1997-04-12
1,86,113,0.26,"Probably by stake M3",1997-04-12
1,113,128,0.53,"Probably by stake M3",1997-04-12
1,128,145,0.68,"Probably by stake M3",1997-04-12
1,145,169,0.58,"Probably by stake M3",1997-04-12
1,169,195,0.59,"Probably by stake M3",1997-04-12
1,195,226,0.48,"Probably by stake M3",1997-04-12
1,226,242,0.69,"Probably by stake M3",1997-04-12
1,242,266,0.61,"Probably by stake M3",1997-04-12
1,266,297,0.23,"Probably by stake M3",1997-04-12
1,297,312,0.39,"Probably by stake M3",1997-04-12
1,312,323,0.82,"Probably by stake M3",1997-04-12
1,323,358,0.59,"Probably by stake M3",1997-04-12
1,358,387,0.61,"Probably by stake M3",1997-04-12
1,387,416,0.64,"Probably by stake M3",1997-04-12
