profile_id,from,to,density,note,date
0,0.0,23.0,0.314,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
0,23.0,73.0,0.447,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
0,73.0,98.0,0.363,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
0,98.0,122.0,0.371,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
0,122.0,131.0,0.421,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
1,0.0,25.0,0.286,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
1,25.0,50.0,0.36,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
1,50.0,56.0,0.276,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
2,0.0,25.0,0.321,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
2,25.0,50.0,0.355,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
2,50.0,75.0,0.347,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
2,75.0,94.0,0.378,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,0.0,25.0,0.294,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,25.0,49.0,0.366,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,49.0,75.0,0.395,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,75.0,101.0,0.424,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,101.0,124.0,0.369,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,124.0,149.0,0.43,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
3,149.0,176.0,0.404,Density data are from Storglaciären. They were not taken on Mårma that year.,2010-05-01
