2011,"fall stake measurements"
2010,"densities"
1996,"All stake measurements. Densities. Local-global coord transform"
1997,"All stake measurements. Densities. Local-global coord transform"
2005,"Fall stake measurement date"
2004,"Fall stake measurement date"
2003,"Fall stake measurement date. Unclear if stake measurements exist in the data"
2002,"Fall stake measurement date"
1989, "All data missing"
1990, "All data missing"
1991, "All data missing"
1992, "All data missing"
1993, "All data missing"
1994, "All data missing"
1995, "All data missing"
1998, "All data missing"
